dimension,grabmyo_value,mendeley_value,gap_severity,mitigation,status
license,"CC BY 4.0, VERIFIED (trang PhysioNet)","CC BY 4.0, VERIFIED (license-record.yaml của Mendeley)",NONE,"Cùng license -> không xung đột pháp lý khi gộp, chỉ cần giữ attribution riêng cho từng nguồn",COMPATIBLE
data_quality_sample_check,"Record mẫu (session1_participant1_gesture1_trial1): không NaN/Inf, không flatline, clip_suspect_frac<0.001 mọi kênh (VERIFIED, quality_check thật)",Chưa thể chạy quality check vì chưa có file thật (PENDING),PENDING,Không thể so sánh quality cho tới khi Mendeley có dữ liệu thật để chạy cùng 1 hàm quality_check,BLOCKED_ON_MENDELEY_REAL_DATA
inventory_completeness,Participant existence 1-43: 100% xác nhận. Full grid 3 participant mẫu x 3 session x 17 gesture x 7 trial: xem file-inventory.csv. CHƯA quét toàn bộ 15351 record (ước tính ~1 giờ ở tốc độ scan hiện tại),"0% - data-hierarchy.yaml của Mendeley ở trạng thái PENDING_EXTRACTION, chưa có file nào để inventory",PENDING,"Cả 2 nguồn đều cần hoàn tất inventory đầy đủ trước khi coi là 'sẵn sàng train' - GRABMyo đã có bằng chứng thật một phần, Mendeley thì chưa có gì",PARTIAL_EVIDENCE_GRABMYO_ONLY
# ---- Kết luận tổng hợp khả năng gộp (không phải 1 dòng dimension, ghi chú tự do) ----
# merge_verdict: CÓ THỂ GỘP Ở MỨC CANONICAL SCHEMA (4 kênh CH01-CH04 uV, 5 nhãn taskA-gesture.v0.2),
#   nhưng CHƯA sẵn sàng để coi là "domain-matched" hoàn toàn:
#   - Rào cản HIGH duy nhất còn treo là sampling_rate (Mendeley PENDING) -> cần Mendeley thật để verify.
#   - Rào cản MEDIUM_HIGH là electrode anatomy chưa đối chiếu được -> cần hình ảnh/paper Mendeley thật.
#   - License, subject_count, gesture_vocabulary, repetitions: hoàn toàn tương thích, không có gap chặn gộp.
#   - Khuyến nghị: khi gộp, LUÔN giữ 1 cột "source_dataset" (GRABMYO_V1_1 / MENDELEY_4CH_GESTURE) để
#     có thể tách riêng khi phân tích domain-shift, và cân nhắc domain-adaptation / per-source
#     normalization thay vì coi 2 nguồn là hoàn toàn đồng nhất về mặt tín hiệu.
