row_key,business_need,prd_reference,srs_requirement,requirement_type,requirement_text,evidence_status,implementation_status,roadmap_day,target_artifact,verification_method,acceptance_evidence,safety_critical,open_questions
FR-020,PRD-NS-01,PRD-NS-01,FR-020,FUNCTIONAL,Hệ thống phải tạo canonical Session ID không chứa định danh trực tiếp của bệnh nhân.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_05;DAY_12;DAY_90,"{'title': 'Privacy, PHI & De-identification Gate', 'outputs': ['security-compliance/privacy/motionlab-data-classification.v0.1.md', 'security-compliance/privacy/deidentification-sop.v0.1.md', 'security-compliance/privacy/patient-data-access-matrix.v0.1.yaml']};{'title': 'Canonical Session, Signal & ProtocolContext Contract', 'outputs': ['packages/common-schemas/json/session.schema.json', 'packages/common-schemas/json/signal.schema.json', 'packages/common-schemas/json/protocol-context.schema.json', 'packages/common-schemas/json/session.schema.json']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-021,PRD-NS-01,PRD-NS-01,FR-021,FUNCTIONAL,"Hệ thống phải lưu device/software version, measurement time, sampling rate, channel/signal name, units và record name khi nguồn có.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-022,PRD-NS-01,PRD-NS-01,FR-022,FUNCTIONAL,"Hệ thống phải hỗ trợ metadata cơ, bên trái/phải, protocol, task, load/speed và clinical context khi được cung cấp.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_14;DAY_90,"{'title': 'Vendor-to-Canonical Channel Ontology & Metadata Completeness Policy', 'outputs': ['clinical/ontologies/muscle-channel-ontology.v0.1.yaml', 'configs/validation/metadata-policy.v0.1.yaml', 'services/signal-ingestion-service/src/normalization/channel_mapper.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-023,PRD-NS-01,PRD-NS-01,FR-023,FUNCTIONAL,"Thiếu metadata bắt buộc phải tạo validation warning/fail theo policy, không tự điền phỏng đoán.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_25;DAY_90,"{'title': 'Baseline / Noise-Level Indicator by Protocol', 'outputs': ['services/quality-gate-service/src/detectors/baseline_noise.py', 'configs/qc/baseline-noise.v0.1.yaml', 'qa-validation/automated-tests/qc/test_baseline_noise.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-024,PRD-NS-01,PRD-NS-01,FR-024,FUNCTIONAL,Hệ thống phải cho phép mapping tên signal vendor sang canonical muscle/channel ontology có version.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-025,PRD-NS-01,PRD-NS-01,FR-025,FUNCTIONAL,Hệ thống phải lưu trạng thái de-identification và source consent/governance metadata nếu có.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_05;DAY_06;DAY_90,"{'title': 'Privacy, PHI & De-identification Gate', 'outputs': ['security-compliance/privacy/motionlab-data-classification.v0.1.md', 'security-compliance/privacy/deidentification-sop.v0.1.md', 'security-compliance/privacy/patient-data-access-matrix.v0.1.yaml']};{'title': 'Real-Data Evidence Inventory & Access Package', 'outputs': ['data-platform/catalog/motionlab-evidence-inventory.v0.1.yaml', 'data-platform/governance/evidence-tier-policy.v0.1.md', 'clinical/discovery/vinmec-data-request-pack.v0.1.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_VALIDATION_TEST;CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-030,PRD-NEED-01,PRD-NEED-01,FR-030,FUNCTIONAL,"QC phải hoạt động tối thiểu ở ba mức: session, channel và time-window.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_04;DAY_21;DAY_22;DAY_30;DAY_32;DAY_33;DAY_37;DAY_39;DAY_83;DAY_90,"{'title': 'Clinical Data-Quality Taxonomy: Artifact vs Physiological Variation', 'outputs': ['clinical/quality/qc-taxonomy.v0.1.yaml', 'clinical/quality/artifact-vs-physiology-guidance.v0.1.md', 'packages/common-schemas/json/quality-reason-codes.schema.json']};{'title': 'QC Taxonomy & Machine-Readable Reason-Code Contract', 'outputs': ['clinical/quality/qc-taxonomy.v0.2.yaml', 'packages/common-schemas/json/qc-result.schema.json', 'services/quality-gate-service/config/reason-codes.v0.1.yaml']};{'title': 'QC Windowing & Session/Channel Aggregation Architecture', 'outputs': ['packages/semg-core/src/windowing.py', 'services/quality-gate-service/src/aggregation/qc_aggregation.py', 'configs/qc/windowing.v0.1.yaml']};{'title': 'QC Session/Channel/Window Aggregation v0.1', 'outputs': ['services/quality-gate-service/src/aggregation/session_quality.py', 'configs/qc/aggregation.v0.1.yaml', 'qa-validation/automated-tests/qc/test_qc_aggregation.py']};{'title': 'Expert QC Annotation Protocol & Evidence Levels', 'outputs': ['clinical/labels/qc-annotation-protocol.v0.1.md', 'clinical/labels/qc-annotation-schema.v0.1.yaml', 'clinical/review-templates/qc-adjudication-policy.v0.1.md']};{'title': 'Clinician-Annotated Real Windows — Round 1', 'outputs': ['qa-validation/evidence/qc-annotation-round1.manifest.yaml', 'qa-validation/test-data/golden/qc/expert_windows/README.md', 'clinical/review/qc-annotation-round1-summary.md']};{'title': 'QC Sensitivity & Error Analysis: False-Allow vs False-Block', 'outputs': ['qa-validation/validation-reports/qc-sensitivity-error-analysis-v0.1.md', 'ai-core/metrics/qc_metrics.v0.1.json', 'scripts/evaluate_qc.py']};{'title': 'QC Core Freeze & GATE C', 'outputs': ['qa-validation/validation-reports/qc-core-technical-validation-v0.1.md', 'docs/00-executive/gates/GATE-C-qc-readiness.md', 'configs/qc/site-motionlab-v0.1.freeze.yaml']};{'title': 'QC Retrospective Validation Against Clinician Reference', 'outputs': ['qa-validation/validation-reports/retrospective-qc-validation-v1.0.md', 'ai-core/metrics/qc_retrospective_metrics.v1.0.json', 'scripts/validate_qc_retrospective.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-031,PRD-NEED-01,PRD-NEED-01,FR-031,FUNCTIONAL,QC phải phát hiện/định lượng missing/dropout và đoạn không có dữ liệu.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_23;DAY_90,"{'title': 'Controlled Artifact Fixtures: Dropout, Missing & Flatline', 'outputs': ['qa-validation/test-data/synthetic/generators/semg_dropout_factory.py', 'qa-validation/test-data/golden/qc/dropout/manifest.yaml', 'qa-validation/automated-tests/qc/test_dropout_detector.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-032,PRD-NEED-01,PRD-NEED-01,FR-032,FUNCTIONAL,QC phải phát hiện clipping/saturation theo đặc tính dữ liệu/ADC nếu xác định được.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_24;DAY_35;DAY_90,"{'title': 'Clipping / Saturation Detector', 'outputs': ['services/quality-gate-service/src/detectors/clipping.py', 'configs/qc/clipping.v0.1.yaml', 'qa-validation/automated-tests/qc/test_clipping.py']};{'title': 'QC Threshold Configuration v0.1 — Evidence-Gated', 'outputs': ['configs/qc/site-motionlab-v0.1.yaml', 'docs/06-ai-signal-processing/qc-threshold-rationale.v0.1.md', 'qa-validation/automated-tests/qc/test_threshold_boundaries.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-033,PRD-NEED-01,PRD-NEED-01,FR-033,FUNCTIONAL,QC phải đánh giá baseline/noise level theo protocol.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_25;DAY_90,"{'title': 'Baseline / Noise-Level Indicator by Protocol', 'outputs': ['services/quality-gate-service/src/detectors/baseline_noise.py', 'configs/qc/baseline-noise.v0.1.yaml', 'qa-validation/automated-tests/qc/test_baseline_noise.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-034,PRD-NEED-01,PRD-NEED-01,FR-034,FUNCTIONAL,QC phải có detector/indicator cho power-line interference khi applicable.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_26;DAY_42;DAY_90,"{'title': 'Power-Line Interference Indicator', 'outputs': ['services/quality-gate-service/src/detectors/powerline.py', 'configs/qc/powerline.v0.1.yaml', 'qa-validation/automated-tests/qc/test_powerline.py']};{'title': 'Notch Filter: Configurable & Evidence-Preserving', 'outputs': ['packages/semg-core/src/filters/notch.py', 'qa-validation/automated-tests/dsp/test_notch.py', 'qa-validation/validation-reports/notch-analytical-v0.1.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-035,PRD-NEED-01,PRD-NEED-01,FR-035,FUNCTIONAL,QC phải có detector/indicator cho motion artifact/low-frequency contamination.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_27;DAY_90,"{'title': 'Motion-Artifact / Low-Frequency Contamination Indicator', 'outputs': ['services/quality-gate-service/src/detectors/motion_artifact.py', 'qa-validation/test-data/synthetic/generators/motion_artifact_factory.py', 'qa-validation/automated-tests/qc/test_motion_artifact.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-036,PRD-NEED-01,PRD-NEED-01,FR-036,FUNCTIONAL,QC phải hỗ trợ flag suspected poor contact/channel abnormality; không tự quy nó thành pathology.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_28;DAY_36;DAY_90,"{'title': 'Suspected Poor Contact & Unexpected-Channel Evidence', 'outputs': ['services/quality-gate-service/src/detectors/channel_abnormality.py', 'clinical/quality/poor-contact-review-guide.v0.1.md', 'qa-validation/automated-tests/qc/test_channel_abnormality.py']};{'title': 'Clinical Edge-Case Stress Set: Preserve Physiology', 'outputs': ['qa-validation/scenario-tests/qc-clinical-edge-cases.v0.1.yaml', 'clinical/quality/physiology-preservation-test-guide.md', 'qa-validation/validation-reports/qc-edge-case-review-v0.1.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,true,
FR-037,PRD-NEED-01,PRD-NEED-01,FR-037,FUNCTIONAL,QC phải trả signal_quality = PASS,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_31;DAY_34;DAY_90,"{'title': 'QC Blocking, Abstention & Metric-Handoff Contract', 'outputs': ['packages/common-schemas/json/quality-eligibility.schema.json', 'services/quality-gate-service/src/application/quality_gate.py', 'qa-validation/automated-tests/qc/test_quality_handoff.py']};{'title': 'Reviewer Agreement & QC Adjudication', 'outputs': ['ai-core/notebooks/05_reviewer_agreement_analysis.ipynb', 'qa-validation/evidence/qc-adjudication-round1.md', 'qa-validation/validation-reports/qc-reviewer-agreement-v0.1.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,true,
FR-038,PRD-NEED-01,PRD-NEED-01,FR-038,FUNCTIONAL,QC FAIL phải block downstream metric không supportable và đưa action suggestion ở mức kỹ thuật.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,true,
FR-039,PRD-NEED-01,PRD-NEED-01,FR-039,FUNCTIONAL,"QC WARNING phải chuyển vào review queue; bác sĩ có thể accept, reject hoặc yêu cầu reprocess/re-measure.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_52;DAY_90,"{'title': 'Doctor Review State Machine Contract', 'outputs': ['clinical/workflows/doctor-review-state-machine.v1.0.md', 'packages/common-schemas/json/review-state-machine.schema.json', 'qa-validation/automated-tests/workflow/test_review_state_machine.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,true,
FR-040,PRD-NEED-01,PRD-NEED-01,FR-040,FUNCTIONAL,Hệ thống phải lưu usable-window ratio và danh sách bad windows/channels.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,false,
FR-041,PRD-NEED-01,PRD-NEED-01,FR-041,FUNCTIONAL,QC phải được versioned; thay đổi threshold/rule không được làm mất khả năng tái lập kết quả cũ.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_38;DAY_90,"{'title': 'QC Versioning, Reproducibility & Regression Suite', 'outputs': ['services/quality-gate-service/src/versioning/qc_version.py', 'qa-validation/regression/qc-v0.1-regression.yaml', 'qa-validation/automated-tests/qc/test_qc_reproducibility.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",QC_FIXTURE_TEST;EXPERT_WINDOW_VALIDATION,Versioned test/evidence artifact produced on planned day,true,
