evidence_id,workstream,research_question,claim,decision_implication,source_title,source_type,authors,year,doi_or_official_url,population,n_subjects,clinical_or_healthy,muscle_or_anatomical_region,task_or_protocol,device,channel_count,electrode_geometry,n_sessions_or_days,window_length,overlap,feature_set,model,split_unit,validation_regime,metric,main_finding,limitations,project_transferability,evidence_status,reviewer_note
EXT-SK-PARALLEL,numerical_runtime,Why record BLAS/OpenMP/thread settings?,"scikit-learn parallelism can involve joblib, OpenMP and BLAS thread pools controlled by runtime variables.",Use CPU single-thread reference profile and capture all threading/BLAS metadata.,"Parallelism, resource management, and configuration",OFFICIAL_DOCUMENTATION,scikit-learn developers,2026,https://scikit-learn.org/stable/computing/parallelism.html,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Parallel numerical runtime,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,scikit-learn / BLAS,NOT_APPLICABLE,Runtime profile,NOT_APPLICABLE,Multiple parallelism layers can change performance and numerical behavior.,Not a guarantee of full cross-platform determinism.,Very high,OFFICIAL_VERIFIED,Supports thread/BLAS lock.
EXT-PYTHON-31314,environment_versions,Which Python version is provisionally locked?,Python 3.13.14 is the exact reference patch selected at the research date.,Pin exact interpreter version in the environment contract.,Python 3.13.14 release,OFFICIAL_RELEASE_RECORD,Python Software Foundation,2026,https://www.python.org/downloads/release/python-31314/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Runtime version,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Python,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact stable patch release is available.,Site compatibility and package wheels must still be verified.,High,OFFICIAL_VERIFIED,"Version lock only, not clinical evidence."
EXT-NUMPY-251,environment_versions,Which NumPy version is provisionally locked?,NumPy 2.5.1 is the exact array runtime selected.,Pin exact NumPy version and record build/BLAS metadata.,NumPy 2.5.1,OFFICIAL_PACKAGE_RECORD,NumPy developers,2026,https://pypi.org/project/numpy/2.5.1/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Numerical runtime version,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NumPy,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact package version is published.,Platform-specific builds may differ.,High,OFFICIAL_VERIFIED,Version lock only.
EXT-SCIPY-1180,environment_versions,Which SciPy version is provisionally locked?,SciPy 1.18.0 is the exact DSP/statistics runtime selected.,Pin exact version and verify on target platform.,SciPy 1.18.0,OFFICIAL_PACKAGE_RECORD,SciPy developers,2026,https://pypi.org/project/scipy/1.18.0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DSP/statistics runtime,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SciPy,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact package version is published.,Numerical backend/platform can affect results.,High,OFFICIAL_VERIFIED,Version lock only.
EXT-SKLEARN-190,environment_versions,Which scikit-learn version is provisionally locked?,scikit-learn 1.9.0 is the exact estimator/pipeline runtime selected.,Pin exact version because persisted objects lack supported cross-version portability.,scikit-learn 1.9.0,OFFICIAL_PACKAGE_RECORD,scikit-learn developers,2026,https://pypi.org/project/scikit-learn/1.9.0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ML runtime version,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,scikit-learn,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact package version is published.,Future security/compatibility review may force an update.,High,OFFICIAL_VERIFIED,Version lock only.
EXT-MLFLOW-3140,environment_versions,Which MLflow version is provisionally locked?,MLflow 3.14.0 is the exact tracking runtime selected.,Pin exact tracking/registry behavior.,MLflow 3.14.0,OFFICIAL_PACKAGE_RECORD,MLflow project,2026,https://pypi.org/project/mlflow/3.14.0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Tracking runtime version,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MLflow,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact package version is published.,Server security/RBAC remains deployment-specific.,High,OFFICIAL_VERIFIED,Version lock only.
EXT-UV-01132,environment_versions,Which uv version is provisionally locked?,uv 0.11.32 is the exact resolver tool selected.,Record resolver version because lock behavior is part of provenance.,uv 0.11.32,OFFICIAL_PACKAGE_RECORD,Astral,2026,https://pypi.org/project/uv/0.11.32/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Resolver version,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,uv,NOT_APPLICABLE,Release record,NOT_APPLICABLE,Exact tool version is published.,Lock still must be generated on approved platform/index.,High,OFFICIAL_VERIFIED,Version lock only.
EXT-NIST-SHA256,artifact_integrity,Which hash is used for content integrity?,FIPS 180-4 specifies SHA-256 among secure hash algorithms.,"Use SHA-256 for files, canonical manifests and hash ledgers.","Secure Hash Standard (SHS), FIPS 180-4",OFFICIAL_STANDARD,NIST,2015,https://csrc.nist.gov/pubs/fips/180-4/upd1/final,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Artifact hashing,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SHA-256,NOT_APPLICABLE,Integrity,NOT_APPLICABLE,SHA-256 is a standardized secure hash algorithm.,Hashing alone does not authenticate an actor; signatures may be added later.,Very high,OFFICIAL_VERIFIED,Primary hash anchor.
EXT-NIST-AIRMF,governance,What lifecycle governance framing applies?,"NIST AI RMF Playbook organizes governance around Govern, Map, Measure and Manage.","Require role clarity, evidence logging, measurement, incident response and lifecycle management.",NIST AI RMF Playbook,OFFICIAL_FRAMEWORK,NIST,2023,https://airc.nist.gov/AI_RMF_Knowledge_Base/Playbook,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AI governance,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AI lifecycle,NOT_APPLICABLE,Governance framework,NOT_APPLICABLE,Provides lifecycle governance actions and role/oversight concepts.,Not a medical-device approval or sEMG-specific standard.,High,OFFICIAL_VERIFIED,Supports promotion/rollback governance.
EXT-TRIPODAI,reporting_governance,What reporting discipline applies to AI prediction models?,"TRIPOD+AI requires transparent reporting of data, development, evaluation, performance and limitations.",Prespecify and retain full experiment/model-card evidence rather than a single metric.,TRIPOD+AI statement,PEER_REVIEWED_REPORTING_GUIDELINE,TRIPOD+AI Group,2024,https://doi.org/10.1136/bmj-2023-078378,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Prediction-model reporting,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AI prediction models,NOT_APPLICABLE,Reporting guideline,NOT_APPLICABLE,Defines transparent reporting expectations for prediction-model studies.,Does not select project thresholds or approve clinical use.,High,OFFICIAL_VERIFIED,Supports model-card and evidence completeness.
EXT-MODEL-CARDS,model_registry,What should a model card provide?,"Model Cards propose structured documentation of intended use, performance, limitations and context.",Require a versioned model card from candidate state upward.,Model Cards for Model Reporting,PEER_REVIEWED_PRIMARY,Mitchell et al.,2019,https://doi.org/10.1145/3287560.3287596,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Model documentation,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Model cards,NOT_APPLICABLE,Documentation framework,NOT_APPLICABLE,Structured cards improve transparency of model context and limitations.,Generic framework; medical/sEMG fields must be added.,High,PEER_REVIEWED_VERIFIED,Supports mandatory model-card sections.
EXT-CC-BY-4,license_governance,What obligations apply to CC BY 4.0 sources?,CC BY 4.0 permits sharing/adaptation including commercial use subject to attribution and other terms.,Record attribution and changes; do not omit notices in model/release documentation.,Creative Commons Attribution 4.0 International,OFFICIAL_LICENSE_TEXT,Creative Commons,2013,https://creativecommons.org/licenses/by/4.0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,License governance,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CC BY 4.0,NOT_APPLICABLE,License terms,NOT_APPLICABLE,Attribution license permits broad reuse under stated conditions.,"Does not automatically resolve privacy, database, or site-data rights.",High,OFFICIAL_VERIFIED,License-gate anchor.
EXT-CC-BY-NC-4,license_governance,What does CC BY-NC 4.0 restrict?,CC BY-NC 4.0 limits licensed use to non-commercial purposes subject to the license terms.,Block commercial/pilot-commercial promotion unless separate permission is obtained.,Creative Commons Attribution-NonCommercial 4.0 International,OFFICIAL_LICENSE_TEXT,Creative Commons,2013,https://creativecommons.org/licenses/by-nc/4.0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,License governance,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CC BY-NC 4.0,NOT_APPLICABLE,License terms,NOT_APPLICABLE,NonCommercial restriction applies to licensed rights.,Commercial interpretation may require legal review for specific context.,High,OFFICIAL_VERIFIED,Fail-closed promotion rule.
EXT-ODC-BY-1,license_governance,What obligations apply to ODC-By databases?,ODC-By permits database use subject to attribution/notice terms.,Track database-specific attribution and derivative-database implications.,Open Data Commons Attribution License v1.0,OFFICIAL_LICENSE_TEXT,Open Knowledge Foundation,2009,https://opendatacommons.org/licenses/by/1-0/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Database license,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ODC-By 1.0,NOT_APPLICABLE,License terms,NOT_APPLICABLE,Database attribution license governs use of the database.,Trained-artifact implications may still need legal analysis.,Medium-High,OFFICIAL_VERIFIED,Supports source-by-source license record.
