dataset_id,canonical_name,category,access_class,license_class,license_text,evidence_status,operational_decision,source_reports,last_checked
REACH_AND_GRASP,Reach&Grasp multimodal dataset,DATA_CONTRACT_REFERENCE,ACCESS_UNKNOWN,LICENSE_AMBIGUOUS,Repository code MIT reported; dataset terms require separate verification,REPOSITORY_AND_PEER_REVIEWED_VERIFIED_IN_SOURCE_REPORT,REFERENCE_SCHEMA_PATTERN_ONLY,S2,2026-07-24
NINAPRO_FAMILY,Ninapro DB1/DB2/DB6,TO_VERIFY,PUBLIC_DOWNLOAD_REPORTED,LICENSE_NOT_FOUND,Explicit downstream/commercial license not verified in reviewed official pages,OFFICIAL_METADATA_VERIFIED_LICENSE_NOT_VERIFIED,DO_NOT_REUSE_UNTIL_LICENSE_AND_DB_SELECTION_VERIFIED,S1;S2;S3;S4,2026-07-24
CAPGMYO,CapgMyo,TO_VERIFY,ACCESS_CONFLICTING,LICENSE_AMBIGUOUS,CC0 in one report; license/access not verified or fetch conflict in others,CONFLICTING,NO_REUSE_UNTIL_CANONICAL_LICENSE_CAPTURE,S1;S2;S3;S4,2026-07-24
GREAT,GREAT,TO_VERIFY,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,License not verified in reviewed page,OFFICIAL_METADATA_VERIFIED_LICENSE_NOT_VERIFIED,TO_VERIFY_LICENSE_BEFORE_USE,S2;S4,2026-07-24
CSL_HDEMG,CSL-HDEMG,TO_VERIFY,FREE_WITH_REGISTRATION,LICENSE_NOT_FOUND,Not verified,ACCESS_VERIFIED_LEGAL_NOT_VERIFIED,TO_VERIFY,S3;S4,2026-07-24
MMGEST,mmGest,TO_VERIFY,FREE_WITH_REGISTRATION,LICENSE_NOT_FOUND,Not verified,ACCESS_VERIFIED_LEGAL_NOT_VERIFIED,TO_VERIFY,S3;S4,2026-07-24
UCD_MYOVERSE_HAND_1,UCD-MyoVerse-Hand-1,TO_VERIFY,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,Not verified from OSF source in reports,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,TO_VERIFY,S4,2026-07-24
MALESEVIC_65,65 isometric hand gestures dataset,TO_VERIFY,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,Not verified,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,TO_VERIFY,S4,2026-07-24
ROJAS_MARTINEZ_ELBOW_HDEMG,Rojas-Martínez elbow HD-sEMG,TO_VERIFY,FREE_OPEN_REPORTED,LICENSE_AMBIGUOUS,Figshare legal reuse not verified in reports,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,TO_VERIFY,S4,2026-07-24
ZENODO_FATIGUE_RECORDS,Zenodo multi-channel fatigue records,TO_VERIFY,ACCESS_UNKNOWN,LICENSE_NOT_FOUND,Not verified,CONFLICTING,DO_NOT_USE_UNTIL_DOI_RECORD_DISAMBIGUATED,S2;S4,2026-07-24
EMAHA_DB1,EMAHA-DB1,TO_VERIFY,ACCESS_UNKNOWN,LICENSE_NOT_FOUND,Not verified,PEER_REVIEWED_STUDY_EXISTENCE_VERIFIED,DISCOVERY_ONLY_UNTIL_CANONICAL_DATA_RECORD,S1,2026-07-24
LOWER_LIMB_WALKING_PHYSIONET,Lower-limb walking sEMG dataset,REJECT_FOR_DAY25_SCOPE,FREE_OPEN_NO_REGISTRATION,TO_VERIFY_NOT_NEEDED_FOR_DECISION,Not relevant to current upper-limb scope,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,REJECT_FOR_DAY25_UPPER_LIMB_SCOPE,S4,2026-07-24
