dataset_id,canonical_name,category,task_a_fit,task_b_fit,task_c_fit,access_class,license_class,license_text,population,subjects,sessions_days,channels,sampling_rate_hz,format,cross_session,fatigue_context,clinical_relevance,mfcv_eligibility,evidence_status,conflict_flag,operational_decision,source_reports,last_checked
REACH_AND_GRASP,Reach&Grasp multimodal dataset,DATA_CONTRACT_REFERENCE,partial,weak,strong_provenance_reference,ACCESS_UNKNOWN,LICENSE_AMBIGUOUS,Repository code MIT reported; dataset terms require separate verification,TO_VERIFY,TO_VERIFY,TO_VERIFY,bipolar EMG + HD-EMG + motion/tactile reported,TO_VERIFY,"BIDS-like *_channels.tsv, *_emg.csv, *_emg.json reported",TO_VERIFY,not primary,excellent sidecar/data-contract pattern,NOT_FOR_SITE_INFERENCE,REPOSITORY_AND_PEER_REVIEWED_VERIFIED_IN_SOURCE_REPORT,dataset license not fully verified,REFERENCE_SCHEMA_PATTERN_ONLY,S2,2026-07-24
NINAPRO_FAMILY,Ninapro DB1/DB2/DB6,TO_VERIFY,strong,weak,partial_repeatability,PUBLIC_DOWNLOAD_REPORTED,LICENSE_NOT_FOUND,Explicit downstream/commercial license not verified in reviewed official pages,healthy; other DBs may vary,DB1 27; DB2 40; DB6 10 reported,DB6 twice/day for 5 days reported,DB-specific,DB-specific; DB6 2000 reported,MATLAB variables reported,yes for DB6,none direct,benchmark only; exact label remap required,NO SITE INFERENCE,OFFICIAL_METADATA_VERIFIED_LICENSE_NOT_VERIFIED,license and exact task mapping,DO_NOT_REUSE_UNTIL_LICENSE_AND_DB_SELECTION_VERIFIED,S1;S2;S3;S4,2026-07-24
CAPGMYO,CapgMyo,TO_VERIFY,strong_hd_semg,weak,partial,ACCESS_CONFLICTING,LICENSE_AMBIGUOUS,CC0 in one report; license/access not verified or fetch conflict in others,healthy,DB-a 18 reported,TO_VERIFY,128 HD-sEMG; 8×16 array reported,TO_VERIFY,TO_VERIFY,sub-database dependent,none direct,HD spatial research only,DATASET_LEVEL_RESEARCH_ONLY,CONFLICTING,license/access evidence conflict,NO_REUSE_UNTIL_CANONICAL_LICENSE_CAPTURE,S1;S2;S3;S4,2026-07-24
GREAT,GREAT,TO_VERIFY,strong_robustness,weak,partial,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,License not verified in reviewed page,healthy,8,2 days; 5 arm positions reported,16 electrodes in two rows of 8,2000,HDF5 + CSV/TXT metadata,yes,none direct,arm-position/electrode-shift robustness,NO SITE INFERENCE,OFFICIAL_METADATA_VERIFIED_LICENSE_NOT_VERIFIED,license,TO_VERIFY_LICENSE_BEFORE_USE,S2;S4,2026-07-24
CSL_HDEMG,CSL-HDEMG,TO_VERIFY,strong,weak,partial,FREE_WITH_REGISTRATION,LICENSE_NOT_FOUND,Not verified,healthy,5 reported,5 sessions reported,HD-sEMG,TO_VERIFY,registration download,yes,none,finger gesture research,DATASET_LEVEL_RESEARCH_ONLY,ACCESS_VERIFIED_LEGAL_NOT_VERIFIED,license,TO_VERIFY,S3;S4,2026-07-24
MMGEST,mmGest,TO_VERIFY,partial_multimodal,weak,partial,FREE_WITH_REGISTRATION,LICENSE_NOT_FOUND,Not verified,healthy,5 reported,5 sessions reported,EMG+IMU,TO_VERIFY,registration download,yes,none,fusion/session variation,NO,ACCESS_VERIFIED_LEGAL_NOT_VERIFIED,license,TO_VERIFY,S3;S4,2026-07-24
UCD_MYOVERSE_HAND_1,UCD-MyoVerse-Hand-1,TO_VERIFY,strong,weak,partial_fairness,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,Not verified from OSF source in reports,healthy diverse adults,91 reported,6 sessions reported,12 electrodes,TO_VERIFY,PKL reported,yes,none,fairness/calibration context,NO,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,license,TO_VERIFY,S4,2026-07-24
MALESEVIC_65,65 isometric hand gestures dataset,TO_VERIFY,strong_repertoire,weak,partial,FREE_OPEN_REPORTED,LICENSE_NOT_FOUND,Not verified,healthy,20 reported,TO_VERIFY,128 via two grids reported,TO_VERIFY,TO_VERIFY,TO_VERIFY,none,gesture repertoire research,DATASET_LEVEL_RESEARCH_ONLY,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,license,TO_VERIFY,S4,2026-07-24
ROJAS_MARTINEZ_ELBOW_HDEMG,Rojas-Martínez elbow HD-sEMG,TO_VERIFY,partial,weak,strong_spatial_torque,FREE_OPEN_REPORTED,LICENSE_AMBIGUOUS,Figshare legal reuse not verified in reports,healthy,12 reported,TO_VERIFY,3 arrays 2D,2048,raw ASCII + ReferencePoints reported,TO_VERIFY,isometric/torque; not direct fatigue,MFCV feasibility research only,POTENTIAL_DATASET_LEVEL; SITE NOT IMPLIED,PEER_REVIEWED_METADATA_VERIFIED_LEGAL_NOT_VERIFIED,license,TO_VERIFY,S4,2026-07-24
ZENODO_FATIGUE_RECORDS,Zenodo multi-channel fatigue records,TO_VERIFY,no,potential,weak,ACCESS_UNKNOWN,LICENSE_NOT_FOUND,Not verified,healthy reported,13 or 15 across potentially different records,TO_VERIFY,8 reported,50 or 200 across potentially different records,TXT/MAT or TO_VERIFY,no evidence,static load/self-perceived variants may be separate records,DSP debugging only if exact record verified,NO,CONFLICTING,record identity and sampling rate,DO_NOT_USE_UNTIL_DOI_RECORD_DISAMBIGUATED,S2;S4,2026-07-24
EMAHA_DB1,EMAHA-DB1,TO_VERIFY,moderate,weak,partial,ACCESS_UNKNOWN,LICENSE_NOT_FOUND,Not verified,healthy,25 reported,TO_VERIFY,5 Noraxon Ultium sensors,TO_VERIFY,TO_VERIFY,TO_VERIFY,none,high device-family relevance,NO,PEER_REVIEWED_STUDY_EXISTENCE_VERIFIED,"access,license,field schema",DISCOVERY_ONLY_UNTIL_CANONICAL_DATA_RECORD,S1,2026-07-24
LOWER_LIMB_WALKING_PHYSIONET,Lower-limb walking sEMG dataset,REJECT_FOR_DAY25_SCOPE,no,off_scope,no_for_upper_limb,FREE_OPEN_NO_REGISTRATION,TO_VERIFY_NOT_NEEDED_FOR_DECISION,Not relevant to current upper-limb scope,healthy/TO_VERIFY,TO_VERIFY,TO_VERIFY,lower-limb,TO_VERIFY,PhysioNet,TO_VERIFY,walking endurance only,not aligned with fixed Task A/C,NO,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,none,REJECT_FOR_DAY25_UPPER_LIMB_SCOPE,S4,2026-07-24
